"","Address","nearest_hospital","dist_to_nearest_hospital","hospitals_1km"
"1","406 ANG MO KIO AVE 10","820 THOMSON ROAD OCBC MOUNT ALVERNIA HOSPITAL SINGAPORE 574623","2.8226109202179","0"
"2","108 ANG MO KIO AVE 4","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","1.47270538083105","0"
"3","602 ANG MO KIO AVE 5","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","0.666273066475829","1"
"4","465 ANG MO KIO AVE 10","5 LORONG NAPIRI SINGAPORE GENERAL HOSPITAL REHABILITATION MEDICINE SINGAPORE 547530","2.4124651404742","0"
"5","601 ANG MO KIO AVE 5","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","0.669264321683127","1"
"6","150 ANG MO KIO AVE 5","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","0.823940529129471","1"
"7","447 ANG MO KIO AVE 10","5 LORONG NAPIRI SINGAPORE GENERAL HOSPITAL REHABILITATION MEDICINE SINGAPORE 547530","2.51224134945374","0"
"8","218 ANG MO KIO AVE 1","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","2.10963093375183","0"
"9","571 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","2.24260774109332","0"
"10","534 ANG MO KIO AVE 10","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","1.89533947596604","0"
"11","233 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","1.87708153128997","0"
"12","235 ANG MO KIO AVE 3","17 ANG MO KIO AVENUE 9 GENERAL OUTPATIENT CLINIC (ANG MO KIO-THYE HUA KWAN HOSPITAL) SINGAPORE 569766","1.96195560973954","0"
