"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"1","406 ANG MO KIO AVE 10","3 ANG MO KIO AVENUE 10 PRO-TEACH SCHOOLCARE (TOWNSVILLE) LLP SINGAPORE 569730","0.229432764178342","2"
"2","108 ANG MO KIO AVE 4","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.242495268456011","3"
"3","602 ANG MO KIO AVE 5","19 ANG MO KIO AVENUE 9 ALPHAJOY STUDENT CARE CENTRE (ANDERSON PRIMARY) SINGAPORE 569785","0.776741380619566","3"
"4","465 ANG MO KIO AVE 10","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.698208661487664","3"
"5","601 ANG MO KIO AVE 5","19 ANG MO KIO AVENUE 9 ALPHAJOY STUDENT CARE CENTRE (ANDERSON PRIMARY) SINGAPORE 569785","0.782319227248212","2"
"6","150 ANG MO KIO AVE 5","200 ANG MO KIO AVENUE 5 SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL) SINGAPORE 569878","0.135571336496434","4"
"7","447 ANG MO KIO AVE 10","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.595975890007547","3"
"8","218 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.523543951669769","1"
"9","571 ANG MO KIO AVE 3","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.385451213187626","2"
"10","534 ANG MO KIO AVE 10","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.383307756132193","1"
"11","233 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.377346475879463","3"
"12","235 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.446561726095923","3"
"13","219 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.388829785051954","1"
"14","536 ANG MO KIO AVE 10","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.413007778276064","1"
"15","230 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.19991131269016","2"
"16","570 ANG MO KIO AVE 3","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.515454771333562","2"
"17","624 ANG MO KIO AVE 4","19 ANG MO KIO AVENUE 9 ALPHAJOY STUDENT CARE CENTRE (ANDERSON PRIMARY) SINGAPORE 569785","0.332897055162092","2"
"18","441 ANG MO KIO AVE 10","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.361054671336815","3"
"19","625 ANG MO KIO AVE 9","19 ANG MO KIO AVENUE 9 ALPHAJOY STUDENT CARE CENTRE (ANDERSON PRIMARY) SINGAPORE 569785","0.22383293461346","2"
"20","119 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.564653116351725","4"
"21","255 ANG MO KIO AVE 4","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","0.316932987873629","2"
"22","432 ANG MO KIO AVE 10","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.417361667553415","3"
"23","211 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.226982542653575","3"
"24","584 ANG MO KIO AVE 3","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.214911012072293","2"
"25","118 ANG MO KIO AVE 4","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","0.137526430875145","3"
"26","333 ANG MO KIO AVE 1","3 ANG MO KIO AVENUE 10 PRO-TEACH SCHOOLCARE (TOWNSVILLE) LLP SINGAPORE 569730","0.27792035882617","2"
"27","256 ANG MO KIO AVE 4","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","0.37132870549704","2"
"28","330 ANG MO KIO AVE 1","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.351414868502962","2"
"29","557 ANG MO KIO AVE 10","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.663637356900281","1"
"30","302 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.612738009880629","3"
"31","575 ANG MO KIO AVE 10","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.465730679520254","2"
"32","509 ANG MO KIO AVE 8","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.324679555566819","3"
"33","472 ANG MO KIO AVE 10","3 ANG MO KIO AVENUE 10 PRO-TEACH SCHOOLCARE (TOWNSVILLE) LLP SINGAPORE 569730","0.600835518564447","3"
"34","475 ANG MO KIO AVE 10","3 ANG MO KIO AVENUE 10 PRO-TEACH SCHOOLCARE (TOWNSVILLE) LLP SINGAPORE 569730","0.429996510702708","3"
"35","629 ANG MO KIO AVE 4","19 ANG MO KIO AVENUE 9 ALPHAJOY STUDENT CARE CENTRE (ANDERSON PRIMARY) SINGAPORE 569785","0.469296120575663","2"
"36","546 ANG MO KIO AVE 10","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.627865166767735","1"
"37","131 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.306324082576263","3"
"38","254 ANG MO KIO AVE 4","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","0.367591051438908","2"
"39","470 ANG MO KIO AVE 10","3 ANG MO KIO AVENUE 10 PRO-TEACH SCHOOLCARE (TOWNSVILLE) LLP SINGAPORE 569730","0.565298802812165","3"
"40","463 ANG MO KIO AVE 10","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.742371471530297","3"
"41","207 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.529191985407215","2"
"42","304 ANG MO KIO AVE 1","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.668080753083634","3"
"43","646 ANG MO KIO AVE 6","200 ANG MO KIO AVENUE 5 SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL) SINGAPORE 569878","0.340133164202472","2"
"44","328 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.362520706715335","4"
"45","588C ANG MO KIO ST 52","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.213012486086444","2"
"46","588D ANG MO KIO ST 52","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.235613399171771","2"
"47","101 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.106180279294134","3"
"48","430 ANG MO KIO AVE 3","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.308706264657904","2"
"49","520 ANG MO KIO AVE 5","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.214854901464117","3"
"50","716 ANG MO KIO AVE 6","200 ANG MO KIO AVENUE 5 SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL) SINGAPORE 569878","0.624950184769281","4"
"51","588A ANG MO KIO ST 52","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.12539096836347","2"
"52","310A ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.686900986181902","2"
"53","613 ANG MO KIO AVE 4","200 ANG MO KIO AVENUE 5 SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL) SINGAPORE 569878","0.488116215952109","3"
"54","101 BEDOK NTH AVE 4","1602 BEDOK NORTH AVENUE 4 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S CANOSSIAN SINGAPORE 469701","0.30143440752545","4"
"55","548 BEDOK NTH AVE 1","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.600577926219653","4"
"56","75 BEDOK NTH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.68761681242765","2"
